Timestamp (UTC-5),AirTC_Avg,BattV,BP_mbar_Avg,CS320_Angle_Avg,CS320_Temp_Avg,DewPtC_Avg,EC_Avg,P_Avg,PA_Avg,PTemp_C,Rain_mm_Tot,Raw_mV_Avg,RH,SlrMJ_Tot,SlrW_Avg,T_Avg,VR_Avg,VWC_Avg,WindDir,WS_ms_Avg,Timestamp (EST),hour,G,ET_ref,Month,Year
2025-01-01 04:00:00+00:00,8.772593,12.94,1006.992,1.296317,6.480833,2.247444,0.0232,9.497799,1.4705,7.204,0.0,-0.03111667,64.16928,-0.0350028,-0.8102499,10.7447,1.0288,0.1784,23.28,1.776419,2024-12-31 23:00:00-05:00,23,-0.0175014,0.9244139387071799,December,2024
2025-01-01 03:00:00+00:00,9.54981,12.93,1006.224,1.261333,7.213917,2.469356,0.0238,9.4954,1.4705,8.05,0.0,-0.03295,63.43122,-0.03704976,-0.8576333,11.1555,1.0295,0.1784,22.93,1.510321,2024-12-31 22:00:00-05:00,22,-0.01852488,0.8592627792087029,December,2024
2025-01-01 02:00:00+00:00,10.84845,12.96,1005.544,1.27485,8.639299,2.72636,0.0233,9.4972,1.4705,9.44,0.0,-0.03258333,58.61969,-0.0366336,-0.848,11.3758,1.029,0.1784,53.59,2.191808,2024-12-31 21:00:00-05:00,21,-0.0183168,1.3626840079334808,December,2024
2025-01-01 01:00:00+00:00,11.50795,12.97,1004.338,1.25405,9.053249,2.860523,0.0238,9.4954,1.4705,10.11,0.0,-0.03285,55.70835,-0.03693744,-0.8550333,11.7309,1.0295,0.1784,337.2,1.972498,2024-12-31 20:00:00-05:00,20,-0.01846872,1.3857596150682183,December,2024
2025-01-01 00:00:00+00:00,13.03709,13.0,1003.732,1.277483,10.58463,2.933285,0.0239,9.4947,1.4705,11.57,0.0,-0.03628333,53.27467,-0.04075416,-0.9433833,12.5418,1.0297,0.1783,337.6,1.448217,2024-12-31 19:00:00-05:00,19,-0.02037708,1.2161368434420048,December,2024
2024-12-31 23:00:00+00:00,14.93967,13.0,1003.094,1.305933,12.78348,3.848345,0.0246,9.491899,1.4705,13.79,0.0,-0.03531666,47.86486,-0.03976488,-0.9204833,13.2729,1.0305,0.1783,319.4,3.091263,2024-12-31 18:00:00-05:00,18,-0.01988244,2.58137833933302,December,2024
2024-12-31 22:00:00+00:00,16.99816,13.03,1002.018,1.309883,15.07165,8.131885,0.0247,9.526,1.4716,16.0,0.0,-0.03548333,48.64755,-0.0398232,-0.9218333,14.1005,1.0306,0.179,12.68,3.783439,2024-12-31 17:00:00-05:00,17,-0.00398232,3.149161133343414,December,2024
2024-12-31 21:00:00+00:00,18.51146,13.05,1000.797,1.221883,16.51126,12.09669,0.0248,9.5256,1.4716,17.5,0.0,-0.03813333,63.83687,-0.04289832,-0.9930167,14.3165,1.0308,0.179,25.0,3.351529,2024-12-31 16:00:00-05:00,16,-0.0042898319999999995,2.1594575297252034,December,2024
2024-12-31 20:00:00+00:00,19.06103,13.04,1000.615,1.188817,16.99618,12.37859,0.0247,9.526199,1.4716,17.9,0.0,-0.04025,67.0302,-0.04528296,-1.048217,14.4741,1.0306,0.179,240.6,3.375223,2024-12-31 15:00:00-05:00,15,-0.004528296,2.01653486281096,December,2024
2024-12-31 19:00:00+00:00,19.7072,13.1,1000.169,1.205583,17.80708,12.00812,0.0245,9.5268,1.4716,18.55,0.0,-0.03603333,63.11817,-0.04053528,-0.9383166,14.6068,1.0304,0.179,263.3,3.298171,2024-12-31 14:00:00-05:00,14,-0.004053528,2.271829842512915,December,2024
2024-12-31 18:00:00+00:00,19.50197,13.12,999.7025,1.18685,17.34605,12.39306,0.0253,9.523699,1.4716,18.6,0.0,-0.0314,59.01366,-0.0353196,-0.8175833,14.8996,1.0313,0.1789,315.4,2.371597,2024-12-31 13:00:00-05:00,13,-0.0035319600000000002,1.9673077456762769,December,2024
